GEOID,NAME,variable,estimate,moe,High_Error
2829700,"Gulfport city, Mississippi",B25024_009,1220,288,FALSE
2836000,"Jackson city, Mississippi",B25024_009,2806,497,FALSE
2869280,"Southaven city, Mississippi",B25024_009,315,246,TRUE
2906652,"Blue Springs city, Missouri",B25024_009,273,150,TRUE
2915670,"Columbia city, Missouri",B25024_009,3400,572,FALSE
2924778,"Florissant city, Missouri",B25024_009,503,206,TRUE
2935000,"Independence city, Missouri",B25024_009,1989,332,FALSE
2937592,"Joplin city, Missouri",B25024_009,736,207,FALSE
2938000,"Kansas City city, Missouri",B25024_009,21125,997,FALSE
2941348,"Lee's Summit city, Missouri",B25024_009,945,265,FALSE
2954074,"O'Fallon city, Missouri",B25024_009,966,329,TRUE
2964082,"St. Charles city, Missouri",B25024_009,1455,225,FALSE
2964550,"St. Joseph city, Missouri",B25024_009,1118,292,FALSE
2965000,"St. Louis city, Missouri",B25024_009,21580,942,FALSE
2965126,"St. Peters city, Missouri",B25024_009,458,124,FALSE
2970000,"Springfield city, Missouri",B25024_009,4806,524,FALSE
3006550,"Billings city, Montana",B25024_009,2480,395,FALSE
3008950,"Bozeman city, Montana",B25024_009,1228,327,FALSE
3032800,"Great Falls city, Montana",B25024_009,958,223,FALSE
3050200,"Missoula city, Montana",B25024_009,2098,398,FALSE
3103950,"Bellevue city, Nebraska",B25024_009,901,224,FALSE
3119595,"Grand Island city, Nebraska",B25024_009,1095,285,FALSE
3128000,"Lincoln city, Nebraska",B25024_009,7665,583,FALSE
3137000,"Omaha city, Nebraska",B25024_009,15831,689,FALSE
3209700,"Carson City, Nevada",B25024_009,1017,244,FALSE
3223770,"Enterprise CDP, Nevada",B25024_009,6516,610,FALSE
3231900,"Henderson city, Nevada",B25024_009,6313,629,FALSE
3240000,"Las Vegas city, Nevada",B25024_009,16747,813,FALSE
3251800,"North Las Vegas city, Nevada",B25024_009,2501,470,FALSE
3254600,"Paradise CDP, Nevada",B25024_009,22579,771,FALSE
3260600,"Reno city, Nevada",B25024_009,10643,811,FALSE
3268400,"Sparks city, Nevada",B25024_009,2133,408,FALSE
3268585,"Spring Valley CDP, Nevada",B25024_009,8187,686,FALSE
3271400,"Sunrise Manor CDP, Nevada",B25024_009,3125,430,FALSE
3345140,"Manchester city, New Hampshire",B25024_009,3428,418,FALSE
3350260,"Nashua city, New Hampshire",B25024_009,2313,337,FALSE
3403580,"Bayonne city, New Jersey",B25024_009,2179,331,FALSE
3410000,"Camden city, New Jersey",B25024_009,2055,478,FALSE
3413690,"Clifton city, New Jersey",B25024_009,1691,404,FALSE
3419390,"East Orange city, New Jersey",B25024_009,8017,762,FALSE
3421000,"Elizabeth city, New Jersey",B25024_009,4450,547,FALSE
3432250,"Hoboken city, New Jersey",B25024_009,10176,707,FALSE
3436000,"Jersey City city, New Jersey",B25024_009,35074,979,FALSE
3438580,"Lakewood CDP, New Jersey",B25024_009,975,217,FALSE
3451000,"Newark city, New Jersey",B25024_009,17868,1019,FALSE
3451210,"New Brunswick city, New Jersey",B25024_009,3297,439,FALSE
